2026-07-03 20:04:38,087 | INFO | ผ่านระบบ Confidence Filter
2026-07-03 20:11:29,794 | INFO | เริ่มต้นโปรแกรม
2026-07-03 20:11:29,794 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 20:11:30,858 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 20:11:30,872 | INFO | 💾 บันทึกข้อมูล -> data/20260703_201130.csv
2026-07-03 20:11:31,352 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 20:11:31,352 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 20:11:31,352 | INFO | เริ่ม AI Tournament
2026-07-03 20:11:31,355 | INFO | กำลัง Train Random Forest
2026-07-03 20:11:32,059 | INFO | กำลัง Train Gradient Boosting
2026-07-03 20:11:32,632 | INFO | กำลัง Train XGBoost
2026-07-03 20:11:32,804 | INFO | 
2026-07-03 20:11:32,804 | INFO | =============================================
2026-07-03 20:11:32,804 | INFO | 🏆 AI Leaderboard
2026-07-03 20:11:32,804 | INFO | =============================================
2026-07-03 20:11:32,805 | INFO | 1. Gradient Boosting   47.47%
2026-07-03 20:11:32,805 | INFO | 2. Random Forest       44.94%
2026-07-03 20:11:32,805 | INFO | 3. XGBoost             44.38%
2026-07-03 20:11:32,805 | INFO | =============================================
2026-07-03 20:11:32,805 | INFO | 🏆 Winner : Gradient Boosting
2026-07-03 20:11:32,811 | INFO | บันทึกโมเดล -> models/model.pkl
2026-07-03 20:11:32,837 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 20:11:32,842 | INFO | 
2026-07-03 20:11:32,842 | INFO | ========== Prediction ==========
2026-07-03 20:11:32,842 | INFO | Signal      : 🔴 SELL
2026-07-03 20:11:32,842 | INFO | Confidence  : 56.43%
2026-07-03 20:11:32,843 | INFO | ===============================
2026-07-03 20:11:32,843 | INFO | สร้าง Strategy สำเร็จ
2026-07-03 20:11:32,843 | INFO | ผ่านระบบ Confidence Filter
2026-07-03 20:14:18,205 | INFO | เริ่มต้นโปรแกรม
2026-07-03 20:14:18,205 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 20:14:18,966 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 20:14:18,980 | INFO | 💾 บันทึกข้อมูล -> data/20260703_201418.csv
2026-07-03 20:14:19,313 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 20:14:19,314 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 20:14:19,314 | INFO | เริ่ม AI Tournament
2026-07-03 20:14:19,317 | INFO | กำลัง Train Random Forest
2026-07-03 20:14:19,992 | INFO | กำลัง Train Gradient Boosting
2026-07-03 20:14:20,556 | INFO | กำลัง Train XGBoost
2026-07-03 20:14:20,710 | INFO | 
2026-07-03 20:14:20,710 | INFO | =============================================
2026-07-03 20:14:20,710 | INFO | 🏆 AI Leaderboard
2026-07-03 20:14:20,710 | INFO | =============================================
2026-07-03 20:14:20,710 | INFO | 1. Gradient Boosting   47.47%
2026-07-03 20:14:20,710 | INFO | 2. Random Forest       44.94%
2026-07-03 20:14:20,711 | INFO | 3. XGBoost             44.38%
2026-07-03 20:14:20,711 | INFO | =============================================
2026-07-03 20:14:20,711 | INFO | 🏆 Winner : Gradient Boosting
2026-07-03 20:14:20,717 | INFO | บันทึกโมเดล -> models/model.pkl
2026-07-03 20:14:20,741 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 20:14:20,744 | INFO | 
2026-07-03 20:14:20,746 | INFO | ========== Prediction ==========
2026-07-03 20:14:20,746 | INFO | Signal      : 🔴 SELL
2026-07-03 20:14:20,746 | INFO | Confidence  : 56.43%
2026-07-03 20:14:20,746 | INFO | ===============================
2026-07-03 20:14:20,746 | INFO | สร้าง Strategy สำเร็จ
2026-07-03 20:14:20,747 | INFO | ผ่านระบบ Confidence Filter
2026-07-03 20:19:53,452 | INFO | เริ่มต้นโปรแกรม
2026-07-03 20:19:53,461 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 20:19:54,644 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 20:19:54,657 | INFO | 💾 บันทึกข้อมูล -> data/20260703_201954.csv
2026-07-03 20:19:55,173 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 20:19:55,173 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 20:19:55,174 | INFO | เริ่ม AI Tournament
2026-07-03 20:19:55,177 | INFO | กำลัง Train Random Forest
2026-07-03 20:19:55,867 | INFO | กำลัง Train Gradient Boosting
2026-07-03 20:19:56,432 | INFO | กำลัง Train XGBoost
2026-07-03 20:19:56,610 | INFO | 
2026-07-03 20:19:56,611 | INFO | =============================================
2026-07-03 20:19:56,611 | INFO | 🏆 AI Leaderboard
2026-07-03 20:19:56,611 | INFO | =============================================
2026-07-03 20:19:56,611 | INFO | 1. Gradient Boosting   47.47%
